Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
180,Jrue Holiday\holidjr01,SG,29,NOP,6,6,205,34,88,.386,10,31,.323,24,57,.421,.443,9,13,.692,5,24,29,36,12,4,13,13,87
181,Justin Holiday\holidju01,SG,30,IND,9,0,208,20,56,.357,12,37,.324,8,19,.421,.464,6,9,.667,3,32,35,11,6,9,6,19,58
182,Rondae Hollis-Jefferson\holliro01,SF,25,TOR,1,0,4,0,0,,0,0,,0,0,,,1,2,.500,0,0,0,0,0,0,0,1,1
183,Richaun Holmes\holmeri01,C,26,SAC,9,5,226,40,63,.635,0,0,,40,63,.635,.635,10,14,.714,22,41,63,8,6,12,10,33,90
184,Rodney Hood\hoodro01,SF,27,POR,9,9,263,34,71,.479,15,31,.484,19,40,.475,.585,12,15,.800,7,28,35,5,8,4,9,23,95
185,Al Horford\horfoal01,PF,33,PHI,8,8,256,51,117,.436,14,41,.341,37,76,.487,.496,12,19,.632,19,41,60,31,9,10,8,27,128
186,Danuel House\houseda01,SF,26,HOU,8,7,248,35,73,.479,22,48,.458,13,25,.520,.630,13,16,.813,6,37,43,6,5,9,6,16,105
187,Dwight Howard\howardw01,C,34,LAL,8,0,167,23,30,.767,0,0,,23,30,.767,.767,3,9,.333,17,44,61,9,5,15,7,33,49
188,Kevin Huerter\huertke01,SG,21,ATL,8,1,179,23,59,.390,11,33,.333,12,26,.462,.483,10,13,.769,5,21,26,23,6,3,12,16,67
189,De'Andre Hunter\huntede01,SF,22,ATL,8,8,219,24,65,.369,6,26,.231,18,39,.462,.415,12,15,.800,4,30,34,11,4,2,13,15,66
190,Chandler Hutchison\hutchch01,SF,23,CHI,2,0,33,4,8,.500,1,2,.500,3,6,.500,.563,5,10,.500,1,6,7,1,0,0,2,5,14
191,Serge Ibaka\ibakase01,C,30,TOR,8,0,183,44,84,.524,5,16,.313,39,68,.574,.554,19,23,.826,7,45,52,6,5,10,17,19,112
192,Ersan İlyasova\ilyaser01,PF,32,MIL,9,0,152,19,49,.388,8,29,.276,11,20,.550,.469,10,12,.833,10,39,49,5,5,5,5,22,56
193,Joe Ingles\inglejo01,SF,32,UTA,9,1,251,22,60,.367,13,41,.317,9,19,.474,.475,5,6,.833,2,34,36,30,7,1,12,24,62
194,Brandon Ingram\ingrabr01,PF,22,NOP,8,8,253,79,150,.527,20,45,.444,59,105,.562,.593,30,39,.769,9,48,57,31,6,8,21,23,208
195,Kyrie Irving\irvinky01,PG,27,BRK,8,8,275,87,186,.468,27,68,.397,60,118,.508,.540,54,58,.931,7,39,46,60,10,5,21,22,255
196,Jonathan Isaac\isaacjo01,SF,22,ORL,9,9,270,40,81,.494,12,33,.364,28,48,.583,.568,19,21,.905,11,53,64,14,14,28,14,22,111
197,Wesley Iwundu\iwundwe01,SF,25,ORL,3,0,28,1,11,.091,0,5,.000,1,6,.167,.091,2,4,.500,1,6,7,1,0,0,2,1,4
198,Frank Jackson\jacksfr01,PG,21,NOP,8,0,154,35,77,.455,12,32,.375,23,45,.511,.532,13,16,.813,3,6,9,12,7,1,14,17,95
199,Jaren Jackson\jacksja02,C,20,MEM,7,7,171,29,69,.420,5,22,.227,24,47,.511,.457,17,21,.810,10,26,36,7,3,8,16,29,80
200,Justin Jackson\jacksju01,SF,24,DAL,8,0,101,17,34,.500,6,14,.429,11,20,.550,.588,7,8,.875,4,15,19,3,1,0,4,8,47
201,Reggie Jackson\jacksre01,PG,29,DET,2,2,36,4,11,.364,1,5,.200,3,6,.500,.409,1,1,1.000,1,4,5,8,0,0,1,2,10
202,Justin James\jamesju01,SG,23,SAC,3,0,12,3,7,.429,0,2,.000,3,5,.600,.429,1,4,.250,0,2,2,1,1,1,0,0,7
203,LeBron James\jamesle01,SF,35,LAL,8,8,281,75,154,.487,15,45,.333,60,109,.550,.536,43,56,.768,6,56,62,84,11,5,30,15,208
204,Amile Jefferson\jeffeam01,PF,26,ORL,2,0,9,3,3,1.000,0,0,,3,3,1.000,1.000,0,0,,2,1,3,2,0,0,1,0,6
205,Alize Johnson\johnsal02,PF,23,IND,1,0,8,1,2,.500,0,0,,1,2,.500,.500,0,0,,0,1,1,0,0,0,0,1,2
206,Cameron Johnson\johnsca02,SF,23,PHO,6,0,82,12,27,.444,6,17,.353,6,10,.600,.556,3,4,.750,2,10,12,2,2,0,3,11,33
207,James Johnson\johnsja01,PF,32,MIA,4,0,57,8,17,.471,2,8,.250,6,9,.667,.529,2,4,.500,2,8,10,4,3,2,3,4,20
208,Stanley Johnson\johnsst04,SF,23,TOR,3,0,11,2,5,.400,1,3,.333,1,2,.500,.500,0,0,,1,3,4,0,1,0,4,4,5
209,Tyler Johnson\johnsty01,PG,27,PHO,8,0,152,22,47,.468,10,24,.417,12,23,.522,.574,7,8,.875,1,11,12,13,2,1,8,14,61
210,Nikola Jokić\jokicni01,C,24,DEN,8,8,245,50,109,.459,9,34,.265,41,75,.547,.500,21,27,.778,14,64,78,47,10,6,23,28,130
211,Damian Jones\jonesda03,C,24,ATL,7,0,88,12,17,.706,1,2,.500,11,15,.733,.735,3,6,.500,4,10,14,2,3,3,3,18,28
212,Derrick Jones\jonesde02,SF,22,MIA,4,0,57,12,20,.600,1,4,.250,11,16,.688,.625,3,3,1.000,3,5,8,2,3,0,2,11,28
